cohort,seed,history,y_zone,body_level,pred_trend_UP_minus_DOWN,body_pred_UP_minus_DOWN,q_UP_minus_DOWN,q_entropy,metric_eig_entropy,metric_cond,metric_top1_mass,metric_trace,g_norm
full,4,body_shock,M,high,0.12832069396972656,0.00949708620707194,0.2551584442456563,1.5273470878601074,2.6682300567626953,29.66351381937663,0.2232846071322759,13.289822260538736,3.140552202860514
full,4,body_shock,M,low,0.09645804762840271,0.006756097078323364,0.2076765944560369,1.5533984104792278,2.6680165926615396,29.68082555135091,0.22336466113726297,13.292768478393555,3.1406594117482505
full,4,body_shock,M,mid,0.10994846373796463,0.014442841211954752,0.2407755653063456,1.5345695813496907,2.6683260599772134,29.65638478597005,0.22326950232187906,13.287533442179361,3.1410746574401855
full,4,body_shock,T,high,0.07799054930607478,0.003943900267283122,0.14261998732884726,1.5806154012680054,2.6686357657114663,29.627554575602215,0.22319000959396362,13.279414176940918,3.1402472654978433
full,4,body_shock,T,low,0.1346969654162725,0.014551242192586264,0.26811105012893677,1.5186066627502441,2.6683318614959717,29.65367317199707,0.2232914368311564,13.285022735595703,3.1405467987060547
full,4,body_shock,T,mid,0.11119413375854492,0.012573619683583578,0.20449298620224,1.5530158281326294,2.6688838799794516,29.600278854370117,0.2230900675058365,13.273145993550619,3.1402310530344644
full,4,control,B,high,0.10436412692070007,0.01345670223236084,0.22895859678586325,1.5412314335505168,2.720000982284546,25.317520141601562,0.20840075612068176,12.188018163045248,3.1585638523101807
full,4,control,B,low,0.03563822681705157,-0.003159463405609131,0.07031816740830739,1.603002707163493,2.720156987508138,25.300968805948894,0.20833084980646768,12.184032758076986,3.159027099609375
full,4,control,B,mid,0.05663038045167923,0.0063354770342508955,0.12069617211818695,1.5899499257405598,2.719886302947998,25.323487599690754,0.2084222435951233,12.189297676086426,3.158865133921305
full,4,control,M,high,0.13255525132020315,0.013581991195678711,0.2668088475863139,1.5196369489034016,2.7202839851379395,25.29185422261556,0.20831048985322317,12.181257883707682,3.158489227294922
full,4,control,M,low,0.09122466544310252,0.004153028130531311,0.19492033123970032,1.5599900086720784,2.7201551596323648,25.302378972371418,0.20838822921117148,12.18147881825765,3.1583990255991616
full,4,control,M,mid,0.10517223676045735,0.013141622145970663,0.22976773977279663,1.5411910216013591,2.7203837235768638,25.283545811971027,0.20827712615331015,12.179265975952148,3.15906023979187
full,4,control,T,high,0.08465193957090378,0.006357590357462565,0.15409426391124725,1.575708548227946,2.7207671801249185,25.25272051493327,0.20816596845785776,12.171514511108398,3.1582650343577066
full,4,control,T,low,0.1327421466509501,0.010830337802569071,0.26493315895398456,1.520855188369751,2.720536549886068,25.27168146769206,0.2082689106464386,12.174198150634766,3.1583542823791504
full,4,control,T,mid,0.11606161296367645,0.014974395434061686,0.21462867160638174,1.5478446086247761,2.721103032430013,25.220664342244465,0.20802655319372812,12.164342880249023,3.1581408182779946
full,5,body_shock,B,high,0.08360426872968674,0.003148198127746582,0.17205709715684256,1.5720188220342,2.742675304412842,14.617761294047037,0.21588486433029175,14.390790939331055,3.6373143990834556
full,5,body_shock,B,low,0.054009718199570976,-0.0032281180222829184,0.10860988001028697,1.5943057537078857,2.7413649559020996,14.604260762532553,0.21707519392172495,14.49905808766683,3.6434690952301025
full,5,body_shock,B,mid,0.06664126987258594,-0.0012787381807963054,0.1347737262646357,1.5860679944356282,2.7419190406799316,14.61581293741862,0.21654510498046875,14.443035125732422,3.64120880762736
full,5,body_shock,M,high,0.09725299974282582,0.002603034178415934,0.1918597420056661,1.5631210009257,2.7357917626698813,15.052515347798666,0.21925839285055795,14.570867220560709,3.638991435368856
full,5,body_shock,M,low,0.08538738389809926,0.003973523775736491,0.18182774384816489,1.5664979219436646,2.7371970812479653,14.854471524556478,0.21916760504245758,14.620971043904623,3.6429460048675537
full,5,body_shock,M,mid,0.11071878671646118,0.0007765889167785645,0.22655164698759714,1.5444227854410808,2.738851308822632,14.783185323079428,0.21816780169804892,14.55280844370524,3.6447722911834717
full,5,body_shock,T,high,0.05054065212607384,-0.0003536343574523926,0.09298490484555562,1.5965415636698406,2.7354253133138022,15.044391949971518,0.21958404779434204,14.617450714111328,3.643415927886963
full,5,body_shock,T,low,0.10697195430596669,0.008957862854003906,0.2155044972896576,1.5506081581115723,2.7356430689493814,14.943640073140463,0.2199695905049642,14.676437695821127,3.642476956049601
