cohort,seed,g_mode,valence_name,n,pred_trend_UP_minus_DOWN,true_trend_UP_minus_DOWN,q_UP_minus_DOWN,q_entropy,delta_trend_ud_from_actual,delta_q_ud_from_actual,kl_q_actual_to_mode,body_state,body_u
full,8,random,bottom,200,0.09041377963498234,0.08679710347205401,0.18420957259833812,1.5650647217035294,0.012523941919207573,0.02609108068048954,0.001464836559739524,0.44787612818181516,-0.21978317913537648
full,8,random,mid,200,0.11433140529319644,0.13196303334087134,0.2182808032631874,1.5456946003437042,0.008116345312446356,0.016706869080662726,0.0009638094893239213,0.5357364325970412,0.17383781419253172
full,8,random,top,200,0.060588192716240885,0.06010031186044216,0.10746541544795037,1.5878107941150665,0.011386486236006021,0.02047048918902874,0.0010183533906092635,0.7136048732697964,1.0098227048305315
full,8,shuffled,bottom,200,0.08885079963132739,0.08679710347205401,0.18120546139776705,1.566651028394699,0.010779373236000539,0.0225469321757555,0.00108954188118787,0.44787612818181516,-0.21978317913537648
full,8,shuffled,mid,200,0.11527281124144792,0.13196303334087134,0.22111204825341702,1.5443994063138962,0.007485469058156014,0.01562819063663483,0.0008122962748166174,0.5357364325970412,0.17383781419253172
full,8,shuffled,top,200,0.062309316620230676,0.06010031186044216,0.11051719721406698,1.5868702763319016,0.011062934566289186,0.01990800563246012,0.0009656711356183223,0.7136048732697964,1.0098227048305315
full,8,zero,bottom,200,0.05263197742402553,0.08679710347205401,0.10366337962448596,1.5949878412485123,0.03498890260234475,0.07480247743427754,0.007840083552873694,0.44787612818181516,-0.21978317913537648
full,8,zero,mid,200,0.1014129774644971,0.13196303334087134,0.20218569040298462,1.5552926713228226,0.021646139845252037,0.04178524158895016,0.004068324377876706,0.5357364325970412,0.17383781419253172
full,8,zero,top,200,0.09344486204907299,0.06010031186044216,0.16882781874388456,1.5670775574445726,0.03429516619071364,0.06381963346153498,0.006599294152110815,0.7136048732697964,1.0098227048305315
full,9,actual,bottom,133,0.07019769546008647,0.09299567229765698,0.14526809751987457,1.5819141031207895,0.0,0.0,0.0,0.39665223198725763,-0.4251610150654908
full,9,actual,mid,210,0.12200726235196704,0.1308396159538201,0.23291845527433214,1.5381169813019888,0.0,0.0,0.0,0.508594753912517,0.03997356399966056
