cohort,seed,valence_name,zone3,n,body_state,body_u,pred_UP_minus_DOWN,true_UP_minus_DOWN,pred_trend_UP_minus_DOWN,true_trend_UP_minus_DOWN,abs_err_trend_UP,abs_err_trend_DOWN
full,9,top,TR,200.0,0.7522012466192245,1.2188449317055798,0.0020999609678983,0.0005234537800409,0.0437950953841209,0.0498597585403833,0.0076085168123245,0.0145797371806111
full,10,bottom,BL,15.0,0.3100976526737213,-0.8031771023041618,-0.0021001507838567,0.0004941656561508,0.0970134804646174,0.0420355560174017,0.0790237739682197,0.024045850833257
full,10,bottom,BM,112.0,0.3747751056881888,-0.5406212984186074,0.0018881947866507,0.0011763982391042,0.1024964974660958,0.080341524472007,0.0460919441622016,0.0239369713235646
full,10,bottom,BR,200.0,0.3616002762317657,-0.632300085514654,0.0035706607624888,0.0010694723505372,0.0984052621945738,0.0796765615209193,0.0526146208168938,0.0338859201781451
full,10,mid,ML,53.0,0.5343413122420041,0.1453189224304062,0.0057352235857045,0.0025029592101572,0.0998490926510882,0.130962941754197,0.0085647121634123,0.0396785612727673
full,10,mid,MM,200.0,0.5081612294912339,0.0432095374338338,0.0082982406020164,0.0025812096196621,0.1137544512748718,0.1330471595790277,0.0148960908316075,0.0329712981637567
full,10,mid,MR,200.0,0.5541731406003236,0.2338850683891613,0.0086060862615704,0.0023158551022416,0.1059614456817507,0.1300209411393171,0.0186557520320639,0.0416218493971973
full,10,top,TL,116.0,0.610093854367733,0.4623458125424594,-0.0026931942536913,0.0012345262890433,0.0623414146167964,0.0805030351729889,0.0046181172325179,0.0274340325067269
full,10,top,TM,200.0,0.6170931638777256,0.5327871350832282,-0.0007356420159339,0.0009777265040165,0.0661311486084014,0.0686184549245459,0.0111966387182474,0.0217511962587013
full,10,top,TR,200.0,0.7580513215810061,1.2357260674412724,-0.001546359732747,0.0004501014101819,0.0513822648115456,0.0466273608650208,0.0112466625683009,0.0179199008294381
full,11,bottom,BM,80.0,0.4065685756504535,-0.3853229366080213,0.0067956779152154,0.0012517715482091,0.1010520787909627,0.0804406219782157,0.0609079991176258,0.0402965422719717
full,11,bottom,BR,200.0,0.3922254464775324,-0.4579774902245445,0.0108878743648529,0.0012355439701502,0.1158493363857269,0.0833821389475708,0.0946514571271836,0.062184259481728
full,11,mid,ML,50.0,0.5024141311645508,0.0072156043762982,0.0132206010818481,0.0026464197624048,0.1114387999475002,0.1343238055073216,0.022121871933341,0.045006877630949
full,11,mid,MM,200.0,0.4963673444092273,-0.0138876499265269,0.013511639535427,0.0025936850659979,0.1108557943254709,0.1327445108908147,0.0227940304391086,0.0432870233617723
full,11,mid,MR,200.0,0.55667026206851,0.2667853827579175,0.0117624398320913,0.0022375719309873,0.1034884157963097,0.1303745855392972,0.0278131017781561,0.0464594611804932
full,11,top,TL,52.0,0.6692233704603635,0.8414913372548084,0.0007973886453188,0.0009803313411696,0.0493191957760315,0.0694149162167867,0.020219777065974,0.039757079229905
full,11,top,TM,200.0,0.6109849691390992,0.4865359662446882,0.0014290025830268,0.001010795812711,0.0529188118129968,0.0693798620378399,0.0182583371177315,0.0268603775789961
full,11,top,TR,200.0,0.7393750824034214,1.1365618708350658,-0.000663471519947,0.0005550924596827,0.041087695416063,0.0519121615345869,0.0291812283918261,0.0309541618474759
full,12,bottom,BM,200.0,0.3958545324206352,-0.4485295251423564,0.0213756303489208,0.0011847829032913,0.1003951686993241,0.0772288129956428,0.035513319504098,0.0118244386464357
full,12,bottom,BR,200.0,0.4003056643530726,-0.4946292862369576,0.0188537412136793,0.0010822165406808,0.0950457874126732,0.0797973740328481,0.0318424442806281,0.0157664826139807
full,12,mid,ML,6.0,0.4725121210018794,-0.1101103997145393,0.0297320087750752,0.0026709802914636,0.125127532829841,0.1344227215498786,0.015248251458009,0.0245434412111838
