cohort,seed,t,PC1_ctrl,PC2_ctrl,PC3_ctrl,PC1_shock,PC2_shock,PC3_shock,pc3_shock_control_dist,t_rel
no_body_in_g,9,87,-0.8126685450445704,-0.8540144001128783,1.126737094479004,-0.7901142314266929,-0.8716313170780072,1.11588361436505,0.030608019483687934,7
no_body_in_g,9,88,-0.8132619130502534,-0.8553720633991299,1.127832243200112,-0.7910146068391968,-0.8747980812469555,1.1174625721037872,0.03130244210470666,8
no_body_in_g,9,89,-0.8083251591646898,-0.8606572808464845,1.1266978599805924,-0.7844143967733584,-0.8817994104087713,1.1159605537279191,0.033674975072402406,9
no_body_in_g,9,90,-0.8090026721697815,-0.861958580666461,1.1277141284406709,-0.7853747653824984,-0.8849852337144961,1.1174555486194933,0.034550588847233776,10
no_body_in_g,9,91,-0.8062900389585852,-0.8625406379951954,1.1269470934514123,-0.781682391269668,-0.8865926201110749,1.1163550068926638,0.036003145225833796,11
no_body_in_g,9,92,-0.8015381642952774,-0.867499921991577,1.1258638838095734,-0.7752857742166707,-0.8932609811990546,1.1148176475570242,0.03840363904212238,12
no_body_in_g,9,93,-0.7988412854976662,-0.8680469416265352,1.125066092590957,-0.771625740616963,-0.8947856560672646,1.113712792610999,0.03980630796157004,13
no_body_in_g,9,94,-0.7965544270413323,-0.8682200005481677,1.1245979818918856,-0.7685985574828481,-0.8957853704960913,1.1128786501322678,0.04097222229790394,14
no_body_in_g,9,95,-0.7937273884446353,-0.8688644762857614,1.1237233993006814,-0.7648494905751594,-0.8972708024829215,1.1116852840101088,0.042258355068890995,15
no_body_in_g,9,96,-0.791085612846365,-0.8692597630965445,1.1230567024051687,-0.7613468121342994,-0.8985406740625087,1.1106954547516674,0.043526640788600565,16
no_body_in_g,9,97,-0.791662080689475,-0.8701725315047112,1.1241003788665798,-0.7622234223409912,-0.9009680028068524,1.1120241659789805,0.044281266646138046,17
no_body_in_g,9,98,-0.7872146647165267,-0.874682194568163,1.1232339214272964,-0.7562674035836112,-0.9071059942974437,1.1106935726396463,0.04654348620622737,18
no_body_in_g,9,99,-0.7875329351937846,-0.8757073786553755,1.1239892288226585,-0.7568874361767562,-0.9095493898855742,1.1118198022887005,0.04724958493228259,19
no_body_in_g,9,100,-0.7884478991098378,-0.8764556080953856,1.1250628450320534,-0.7582456762048528,-0.9118605786504004,1.113457934172125,0.04796207006031694,20
no_body_in_g,9,101,-0.7858348539708296,-0.8768577141046382,1.1242450250500666,-0.7547673599411909,-0.9130102169576404,1.1123178242598568,0.04913706102839231,21
